name,tumor,view,area_ratio,size_group,size_label,dice,iou,precision,recall
brisc2025_test_00476_me_co_t1,meningioma,coronal,0.010986328125,medium,medium 1%-5%,0.9617486596107483,0.9263157844543457,0.9462365508079529,0.9777777791023254
brisc2025_test_00477_me_co_t1,meningioma,coronal,0.0311279296875,medium,medium 1%-5%,0.9625246524810791,0.927756667137146,0.9682539701461792,0.95686274766922
brisc2025_test_00478_me_sa_t1,meningioma,sagittal,0.035400390625,medium,medium 1%-5%,0.9792746305465698,0.9593908786773682,0.9809688329696655,0.9775862097740173
brisc2025_test_00479_me_sa_t1,meningioma,sagittal,0.037109375,medium,medium 1%-5%,0.9726141095161438,0.9466882348060608,0.981574535369873,0.9638158082962036
brisc2025_test_00480_me_sa_t1,meningioma,sagittal,0.05364990234375,large,large > 5%,0.9592549204826355,0.9217002391815186,0.9821215867996216,0.937428891658783
brisc2025_test_00481_me_sa_t1,meningioma,sagittal,0.03204345703125,medium,medium 1%-5%,0.9333333373069763,0.875,0.9203703999519348,0.9466666579246521
brisc2025_test_00482_me_sa_t1,meningioma,sagittal,0.01776123046875,medium,medium 1%-5%,0.9555950164794922,0.9149659872055054,0.9889705777168274,0.9243986010551453
brisc2025_test_00483_me_sa_t1,meningioma,sagittal,0.0087890625,small,small < 1%,0.8218390941619873,0.6975609660148621,0.7009803652763367,0.9930555820465088
brisc2025_test_00484_me_sa_t1,meningioma,sagittal,0.02215576171875,medium,medium 1%-5%,0.9504132270812988,0.9055117964744568,0.9504132270812988,0.9504132270812988
brisc2025_test_00485_me_sa_t1,meningioma,sagittal,0.01849365234375,medium,medium 1%-5%,0.963087260723114,0.9288026094436646,0.979522168636322,0.9471946954727173
brisc2025_test_00486_me_sa_t1,meningioma,sagittal,0.03289794921875,medium,medium 1%-5%,0.9425926208496094,0.8914185762405396,0.9408502578735352,0.9443413615226746
brisc2025_test_00487_me_sa_t1,meningioma,sagittal,0.017578125,medium,medium 1%-5%,0.4892857074737549,0.3238770663738251,0.32932692766189575,0.9513888955116272
brisc2025_test_00488_me_sa_t1,meningioma,sagittal,0.0455322265625,medium,medium 1%-5%,0.9798657894134521,0.9605262875556946,0.9811828136444092,0.9785522818565369
brisc2025_test_00489_me_sa_t1,meningioma,sagittal,0.01953125,medium,medium 1%-5%,0.9673405885696411,0.9367470145225525,0.9628483057022095,0.971875011920929
brisc2025_test_00490_me_sa_t1,meningioma,sagittal,0.02545166015625,medium,medium 1%-5%,0.9656862616539001,0.9336493015289307,0.9874686598777771,0.944844126701355
brisc2025_test_00491_me_sa_t1,meningioma,sagittal,0.033935546875,medium,medium 1%-5%,0.9611830115318298,0.9252669215202332,0.9885931611061096,0.935251772403717
brisc2025_test_00492_me_sa_t1,meningioma,sagittal,0.04290771484375,medium,medium 1%-5%,0.9778096079826355,0.9565826058387756,0.9841498732566833,0.9715505242347717
brisc2025_test_00493_me_sa_t1,meningioma,sagittal,0.07672119140625,large,large > 5%,0.07080266624689102,0.03670058026909828,0.06328320503234863,0.08035004138946533
brisc2025_test_00494_me_sa_t1,meningioma,sagittal,0.02020263671875,medium,medium 1%-5%,0.9775784611701965,0.9561403393745422,0.9674556255340576,0.9879153966903687
brisc2025_test_00495_me_sa_t1,meningioma,sagittal,0.02032470703125,medium,medium 1%-5%,0.9614243507385254,0.9257143139839172,0.9501466155052185,0.9729729890823364
brisc2025_test_00496_me_sa_t1,meningioma,sagittal,0.02325439453125,medium,medium 1%-5%,0.8918269276618958,0.8047722578048706,0.8226163983345032,0.9737532734870911
brisc2025_test_00497_me_sa_t1,meningioma,sagittal,0.0150146484375,medium,medium 1%-5%,0.9558233022689819,0.9153845906257629,0.9444444179534912,0.9674796462059021
brisc2025_test_00498_me_sa_t1,meningioma,sagittal,0.0345458984375,medium,medium 1%-5%,0.9848078489303589,0.9700704216957092,0.9963833689689636,0.9734982252120972
brisc2025_test_00499_me_sa_t1,meningioma,sagittal,0.009765625,small,small < 1%,0.9456868767738342,0.8969696760177612,0.9673202633857727,0.925000011920929
brisc2025_test_00500_me_sa_t1,meningioma,sagittal,0.0040283203125,small,small < 1%,0.7643312215805054,0.6185566782951355,0.6593406796455383,0.9090909361839294
brisc2025_test_00501_me_sa_t1,meningioma,sagittal,0.017333984375,medium,medium 1%-5%,0.9734513163566589,0.9482758641242981,0.9786477088928223,0.9683098793029785
